NamasteCode,Term,BiomedicalEquivalent,System,Description,Icd11Code,ImageUrl,Formulations,Pathya ,Apathya 
NAM-A-001,Hypertension,Hypertension,Ayurveda,A condition where the force of the blood against artery walls is consistently too high.,ICD11-PLACEHOLDER-001,hypertension.png,"Sarpagandha Ghan Vati, Jatamansi Churna","Garlic, Lemon, Low-salt diet, Meditation","Excessive salt, Oily food, Stress, Alcohol"
NAM-A-004,Diabetes Mellitus,Diabetes Mellitus,Ayurveda,A metabolic disorder characterized by high blood sugar levels over a prolonged period.,ICD11-PLACEHOLDER-004,diabetes_mellitus.png,"Chandraprabha Vati, Nishamalaki Churna","Barley, Bitter gourd, Regular exercise, Fenugreek","Sugary foods, Refined carbs, Daytime sleep, Dairy products"
NAM-A-008,Amavata,Rheumatoid Arthritis,Ayurveda,"An autoimmune disease where the body's immune system attacks its own joints, causing inflammation.",ICD11-PLACEHOLDER-008,amavata.png,"Simhanada Guggulu, Yogaraja Guggulu","Warm water, Ginger, Light exercise, Fasting","Cold foods, Fried items, Heavy meals, Curd"
NAM-A-010,Amlapitta,Acidity / GERD,Ayurveda,"A digestive condition where stomach acid frequently flows back into the esophagus, causing irritation.",ICD11-PLACEHOLDER-010,amlapitta.png,"Avipattikar Churna, Kamadudha Rasa","Pomegranate, Coconut water, Fennel seeds, Timely meals","Spicy food, Fermented food, Sour fruits, Tea/Coffee"
NAM-A-025,Jvara,Fever,Ayurveda,"An elevation of body temperature above the normal range, a common sign of infection.",ICD11-PLACEHOLDER-025,jvara.png,"Sudarshan Ghan Vati, Amritarishta","Light food, Warm soups, Adequate rest, Hydration","Heavy food, Cold water, Physical exertion, Oily food"
NAM-A-031,Rajayakshma,Tuberculosis,Ayurveda,A serious infectious disease primarily affecting the lungs.,ICD11-PLACEHOLDER-031,rajayakshma.png,"Sitopaladi Churna, Suvarna Bhasma","Goat milk, Ghee, Ash gourd, Protein-rich diet","Dry food, Excessive exercise, Suppression of urges"
NAM-A-032,Pratishyaya,Common Cold,Unani,A mild viral infectious disease of the upper respiratory system.,ICD11-PLACEHOLDER-032,pratishyaya.png,"Khamira Marwareed, Sharbat-e-Unnab","Ginger tea, Warm water, Steam inhalation, Rest","Cold drinks, Curd, Bananas, Exposure to cold wind"
NAM-A-033,Kasa,Cough,Ayurveda,A reflex action to clear the airways of mucus and irritants.,ICD11-PLACEHOLDER-033,kasa.png,"Talisadi Churna, Vasavaleha","Honey, Turmeric milk, Lukewarm water, Licorice","Heavy meals, Fried food, Cold foods, Dairy"
NAM-A-007,Medoroga,Obesity,Ayurveda,A complex disease involving an excessive amount of body fat.,ICD11-PLACEHOLDER-007,medoroga.png,"Triphala Guggulu, Medohar Vati","Warm water with honey, Regular exercise, High-fiber diet","Sugary drinks, Junk food, Daytime sleep, High-fat diet"
NAM-A-006,Tamaka Shwasa,Asthma,Ayurveda,A chronic respiratory disease in which a person's airways become inflamed and narrow.,ICD11-PLACEHOLDER-006,tamaka_shwasa.png,"Kanakasava, Shwasari Ras","Garlic, Ginger, Old rice, Pranayama","Dust, Smoke, Cold food, Fish, Curd"
NAM-A-009,Sandhivata,Osteoarthritis,Ayurveda,A type of arthritis that occurs when flexible tissue at the ends of bones wears down.,ICD11-PLACEHOLDER-009,sandhivata.png,"Maharasnadi Kwath, Ashwagandha Churna","Warm oil massage, Light movement, Ghee, Garlic","Cold exposure, Heavy lifting, High-impact exercise"
NAM-A-015,Pandu Roga,Anemia,Ayurveda,A condition in which the blood doesn't have enough healthy red blood cells.,ICD11-PLACEHOLDER-015,pandu_roga.png,"Punarnavadi Mandoor, Lohasava","Beetroot, Pomegranate, Dates, Green leafy vegetables","Spicy food, Sour items, Alcohol, Excessive salt"
NAM-A-050,Grahani,Inflammatory Bowel Disease,Ayurveda,A chronic inflammatory condition of the digestive tract.,ICD11-PLACEHOLDER-050,grahani.png,"Kutaj Ghan Vati, Dadimashtaka Churna","Buttermilk, Pomegranate, Cooked rice, Cumin","Heavy food, Fried food, Refined flour, Spicy food"
NAM-A-051,Vibandha,Constipation / Piles,Ayurveda,A condition characterized by difficult or infrequent bowel movements.,ICD11-PLACEHOLDER-051,vibandha.png,"Triphala Churna, Avipattikar Churna","High-fiber fruits, Warm milk with ghee, Plenty of water","Dry foods, Junk food, Low water intake, Sedentary lifestyle"
NAM-A-013,Mukhadushika,Acne,Ayurveda,A skin condition that occurs when hair follicles become plugged with oil and dead skin cells.,ICD11-PLACEHOLDER-013,mukhadushika.png,"Manjishtadi Kwath, Neem tablets","Green vegetables, Water, Amla, Turmeric","Oily food, Spicy food, Junk food, Excessive sweets"
